#rho	 Pc
 1.000000000000000E-01 5.637923489235219E+10
 1.000767874200861E-01 5.646952754655151E+10
 1.001536338032509E-01 5.655996041797147E+10
 1.002305391947709E-01 5.665053370401599E+10
 1.003075036399570E-01 5.674124760233351E+10
 1.003845271841549E-01 5.683210231072060E+10
 1.004616098727451E-01 5.692309802721127E+10
 1.005387517511434E-01 5.701423495001625E+10
 1.006159528647998E-01 5.710551327749252E+10
 1.006932132591997E-01 5.719693332767128E+10
 1.007705329798632E-01 5.728849474127605E+10
 1.008479120723454E-01 5.738019445357664E+10
 1.009253505822365E-01 5.747203422651185E+10
 1.010028485551614E-01 5.756401830811449E+10
 1.010804060367803E-01 5.765614676150558E+10
 1.011580230727885E-01 5.774841974994122E+10
 1.012356997089162E-01 5.784083748541002E+10
 1.013134359909287E-01 5.793340018019113E+10
 1.013912319646267E-01 5.802610804679538E+10
 1.014690876758459E-01 5.811896129792190E+10
 1.015470031704570E-01 5.821196014663091E+10
 1.016249784943662E-01 5.830510480617361E+10
 1.017030136935151E-01 5.839839549001620E+10
 1.017811088138802E-01 5.849183241194536E+10
 1.018592639014734E-01 5.858541578596989E+10
 1.019374790023419E-01 5.867914582635175E+10
 1.020157541625686E-01 5.877302274758714E+10
 1.020940894282715E-01 5.886704676441330E+10
 1.021724848456037E-01 5.896121809190999E+10
 1.022509404607545E-01 5.905553694527768E+10
 1.023294563199481E-01 5.915000354004570E+10
 1.024080324694443E-01 5.924461809199986E+10
 1.024866689555384E-01 5.933938081709453E+10
 1.025653658245616E-01 5.943429193167754E+10
 1.026441231228801E-01 5.952935165223405E+10
 1.027229408968962E-01 5.962456019548428E+10
 1.028018191930474E-01 5.971991777853014E+10
 1.028807580578073E-01 5.981542461859244E+10
 1.029597575376849E-01 5.991108093315394E+10
 1.030388176792250E-01 6.000688694009975E+10
 1.031179385290080E-01 6.010284285735728E+10
 1.031971201336504E-01 6.019894890322810E+10
 1.032763625398042E-01 6.029520529626392E+10
 1.033556657941571E-01 6.039161225520416E+10
 1.034350299434333E-01 6.048816999910796E+10
 1.035144550343921E-01 6.058487874721762E+10
 1.035939411138292E-01 6.068173871914688E+10
 1.036734882285759E-01 6.077875013462705E+10
 1.037530964254999E-01 6.087591321363196E+10
 1.038327657515045E-01 6.097322817653664E+10
 1.039124962535291E-01 6.107069524386977E+10
 1.039922879785491E-01 6.116831463637222E+10
 1.040721409735764E-01 6.126608657513716E+10
 1.041520552856584E-01 6.136401128143024E+10
 1.042320309618789E-01 6.146208897678909E+10
 1.043120680493578E-01 6.156031988300165E+10
 1.043921665952513E-01 6.165870422216547E+10
 1.044723266467518E-01 6.175724221653683E+10
 1.045525482510876E-01 6.185593408864042E+10
 1.046328314555239E-01 6.195478006133858E+10
 1.047131763073617E-01 6.205378035764099E+10
 1.047935828539383E-01 6.215293520089042E+10
 1.048740511426275E-01 6.225224481456558E+10
 1.049545812208397E-01 6.235170942252167E+10
 1.050351731360214E-01 6.245132924887349E+10
 1.051158269356555E-01 6.255110451782336E+10
 1.051965426672614E-01 6.265103545398936E+10
 1.052773203783954E-01 6.275112228219264E+10
 1.053581601166498E-01 6.285136522745456E+10
 1.054390619296534E-01 6.295176451516072E+10
 1.055200258650721E-01 6.305232037080816E+10
 1.056010519706081E-01 6.315303302019685E+10
 1.056821402940002E-01 6.325390268947304E+10
 1.057632908830236E-01 6.335492960490269E+10
 1.058445037854908E-01 6.345611399309499E+10
 1.059257790492506E-01 6.355745608083806E+10
 1.060071167221886E-01 6.365895609519412E+10
 1.060885168522271E-01 6.376061426354048E+10
 1.061699794873256E-01 6.386243081339638E+10
 1.062515046754798E-01 6.396440597265099E+10
 1.063330924647228E-01 6.406653996929594E+10
 1.064147429031241E-01 6.416883303172945E+10
 1.064964560387907E-01 6.427128538851070E+10
 1.065782319198660E-01 6.437389726846554E+10
 1.066600705945305E-01 6.447666890069991E+10
 1.067419721110021E-01 6.457960051448389E+10
 1.068239365175351E-01 6.468269233947615E+10
 1.069059638624214E-01 6.478594460545056E+10
 1.069880541939894E-01 6.488935754251009E+10
 1.070702075606053E-01 6.499293138101171E+10
 1.071524240106719E-01 6.509666635151802E+10
 1.072347035926294E-01 6.520056268487064E+10
 1.073170463549550E-01 6.530462061215907E+10
 1.073994523461636E-01 6.540884036469781E+10
 1.074819216148068E-01 6.551322217411047E+10
 1.075644542094738E-01 6.561776627220956E+10
 1.076470501787909E-01 6.572247289109109E+10
