#rho	 Pc
 1.000000000000000E-01 5.538703737964756E+08
 1.000767874200861E-01 5.550149265498648E+08
 1.001536338032509E-01 5.561618007936672E+08
 1.002305391947709E-01 5.573110010420291E+08
 1.003075036399570E-01 5.584625318183161E+08
 1.003845271841549E-01 5.596163976528263E+08
 1.004616098727451E-01 5.607726030846579E+08
 1.005387517511434E-01 5.619311526606443E+08
 1.006159528647998E-01 5.630920509354511E+08
 1.006932132591997E-01 5.642553024727001E+08
 1.007705329798632E-01 5.654209118432541E+08
 1.008479120723454E-01 5.665888836261539E+08
 1.009253505822365E-01 5.677592224094825E+08
 1.010028485551614E-01 5.689319327884138E+08
 1.010804060367803E-01 5.701070193666534E+08
 1.011580230727885E-01 5.712844867565157E+08
 1.012356997089162E-01 5.724643395777366E+08
 1.013134359909287E-01 5.736465824589403E+08
 1.013912319646267E-01 5.748312200366077E+08
 1.014690876758459E-01 5.760182569551350E+08
 1.015470031704570E-01 5.772076974027712E+08
 1.016249784943662E-01 5.783995459201550E+08
 1.017030136935151E-01 5.795938359763851E+08
 1.017811088138802E-01 5.807905823772132E+08
 1.018592639014734E-01 5.819897686165767E+08
 1.019374790023419E-01 5.831913971448390E+08
 1.020157541625686E-01 5.843954733842167E+08
 1.020940894282715E-01 5.856020021523582E+08
 1.021724848456037E-01 5.868109882756370E+08
 1.022509404607545E-01 5.880224365895107E+08
 1.023294563199481E-01 5.892363519371181E+08
 1.024080324694443E-01 5.904527391718221E+08
 1.024866689555384E-01 5.916716031559675E+08
 1.025653658245616E-01 5.928929487594955E+08
 1.026441231228801E-01 5.941167808619301E+08
 1.027229408968962E-01 5.953431043521425E+08
 1.028018191930474E-01 5.965719241273022E+08
 1.028807580578073E-01 5.978032450940354E+08
 1.029597575376849E-01 5.990370721675903E+08
 1.030388176792250E-01 6.002734102717860E+08
 1.031179385290080E-01 6.015122643406296E+08
 1.031971201336504E-01 6.027536393160323E+08
 1.032763625398042E-01 6.039975401493073E+08
 1.033556657941571E-01 6.052439718008802E+08
 1.034350299434333E-01 6.064929392399864E+08
 1.035144550343921E-01 6.077444474453826E+08
 1.035939411138292E-01 6.089985014042609E+08
 1.036734882285759E-01 6.102551061133616E+08
 1.037530964254999E-01 6.115142665785946E+08
 1.038327657515045E-01 6.127759878143195E+08
 1.039124962535291E-01 6.140402748447107E+08
 1.039922879785491E-01 6.153071327027817E+08
 1.040721409735764E-01 6.165765664312208E+08
 1.041520552856584E-01 6.178485810808941E+08
 1.042320309618789E-01 6.191231817122333E+08
 1.043120680493578E-01 6.204003733957270E+08
 1.043921665952513E-01 6.216801612098491E+08
 1.044723266467518E-01 6.229625502433286E+08
 1.045525482510876E-01 6.242475455930964E+08
 1.046328314555239E-01 6.255351523657720E+08
 1.047131763073617E-01 6.268253756782901E+08
 1.047935828539383E-01 6.281182206549973E+08
 1.048740511426275E-01 6.294136924305499E+08
 1.049545812208397E-01 6.307117961494367E+08
 1.050351731360214E-01 6.320125369642794E+08
 1.051158269356555E-01 6.333159200378079E+08
 1.051965426672614E-01 6.346219505420430E+08
 1.052773203783954E-01 6.359306336582689E+08
