#rho	 Pc
 1.000000000000000E-01 1.123626590419494E+09
 1.000767874200861E-01 1.125858986737794E+09
 1.001536338032509E-01 1.128095740844275E+09
 1.002305391947709E-01 1.130336860839772E+09
 1.003075036399570E-01 1.132582354839090E+09
 1.003845271841549E-01 1.134832230968465E+09
 1.004616098727451E-01 1.137086497369333E+09
 1.005387517511434E-01 1.139345162196509E+09
 1.006159528647998E-01 1.141608233616423E+09
 1.006932132591997E-01 1.143875719811160E+09
 1.007705329798632E-01 1.146147628975624E+09
 1.008479120723454E-01 1.148423969317828E+09
 1.009253505822365E-01 1.150704749059356E+09
 1.010028485551614E-01 1.152989976436580E+09
 1.010804060367803E-01 1.155279659697517E+09
 1.011580230727885E-01 1.157573807105531E+09
 1.012356997089162E-01 1.159872426936790E+09
 1.013134359909287E-01 1.162175527480639E+09
 1.013912319646267E-01 1.164483117041431E+09
 1.014690876758459E-01 1.166795203935808E+09
 1.015470031704570E-01 1.169111796494491E+09
 1.016249784943662E-01 1.171432903062611E+09
 1.017030136935151E-01 1.173758531998577E+09
 1.017811088138802E-01 1.176088691673885E+09
 1.018592639014734E-01 1.178423390474292E+09
 1.019374790023419E-01 1.180762636799753E+09
 1.020157541625686E-01 1.183106439063413E+09
 1.020940894282715E-01 1.185454805692376E+09
 1.021724848456037E-01 1.187807745127318E+09
 1.022509404607545E-01 1.190165265823326E+09
 1.023294563199481E-01 1.192527376249068E+09
 1.024080324694443E-01 1.194894084886404E+09
 1.024866689555384E-01 1.197265400232261E+09
 1.025653658245616E-01 1.199641330796698E+09
 1.026441231228801E-01 1.202021885103347E+09
 1.027229408968962E-01 1.204407071690634E+09
 1.028018191930474E-01 1.206796899110296E+09
 1.028807580578073E-01 1.209191375928694E+09
 1.029597575376849E-01 1.211590510725365E+09
 1.030388176792250E-01 1.213994312093545E+09
 1.031179385290080E-01 1.216402788642092E+09
 1.031971201336504E-01 1.218815948992133E+09
 1.032763625398042E-01 1.221233801780047E+09
 1.033556657941571E-01 1.223656355655925E+09
 1.034350299434333E-01 1.226083619282536E+09
 1.035144550343921E-01 1.228515601338929E+09
 1.035939411138292E-01 1.230952310517031E+09
 1.036734882285759E-01 1.233393755523306E+09
 1.037530964254999E-01 1.235839945077665E+09
 1.038327657515045E-01 1.238290887914633E+09
 1.039124962535291E-01 1.240746592783753E+09
 1.039922879785491E-01 1.243207068446892E+09
 1.040721409735764E-01 1.245672323680828E+09
 1.041520552856584E-01 1.248142367277335E+09
 1.042320309618789E-01 1.250617208042066E+09
 1.043120680493578E-01 1.253096854794123E+09
 1.043921665952513E-01 1.255581316367248E+09
 1.044723266467518E-01 1.258070601610162E+09
 1.045525482510876E-01 1.260564719385383E+09
 1.046328314555239E-01 1.263063678568543E+09
 1.047131763073617E-01 1.265567488051181E+09
 1.047935828539383E-01 1.268076156739538E+09
 1.048740511426275E-01 1.270589693552374E+09
 1.049545812208397E-01 1.273108107423249E+09
 1.050351731360214E-01 1.275631407301451E+09
 1.051158269356555E-01 1.278159602149456E+09
 1.051965426672614E-01 1.280692700944022E+09
 1.052773203783954E-01 1.283230712677336E+09
 1.053581601166498E-01 1.285773646355322E+09
 1.054390619296534E-01 1.288321510998013E+09
 1.055200258650721E-01 1.290874315640347E+09
 1.056010519706081E-01 1.293432069331628E+09
 1.056821402940002E-01 1.295994781136009E+09
 1.057632908830236E-01 1.298562460131733E+09
 1.058445037854908E-01 1.301135115411841E+09
 1.059257790492506E-01 1.303712756083705E+09
 1.060071167221886E-01 1.306295391268445E+09
 1.060885168522271E-01 1.308883030103654E+09
 1.061699794873256E-01 1.311475681739893E+09
 1.062515046754798E-01 1.314073355342678E+09
 1.063330924647228E-01 1.316676060092919E+09
 1.064147429031241E-01 1.319283805184855E+09
 1.064964560387907E-01 1.321896599828080E+09
 1.065782319198660E-01 1.324514453247565E+09
 1.066600705945305E-01 1.327137374681678E+09
 1.067419721110021E-01 1.329765373383029E+09
 1.068239365175351E-01 1.332398458621129E+09
 1.069059638624214E-01 1.335036639678725E+09
 1.069880541939894E-01 1.337679925853214E+09
 1.070702075606053E-01 1.340328326456621E+09
 1.071524240106719E-01 1.342981850816480E+09
 1.072347035926294E-01 1.345640508275440E+09
 1.073170463549550E-01 1.348304308188897E+09
 1.073994523461636E-01 1.350973259929093E+09
 1.074819216148068E-01 1.353647372882684E+09
 1.075644542094738E-01 1.356326656449816E+09
 1.076470501787909E-01 1.359011120047200E+09
 1.077297095714220E-01 1.361700772267851E+09
 1.078124324360681E-01 1.364395622740969E+09
 1.078952188214677E-01 1.367095728401637E+09
 1.079780687763969E-01 1.369801124954086E+09
 1.080609823496691E-01 1.372511798378472E+09
 1.081439595901351E-01 1.375227755671000E+09
 1.082270005466832E-01 1.377949007356912E+09
 1.083101052682396E-01 1.380675563301539E+09
 1.083932738037676E-01 1.383407433385993E+09
 1.084765062022684E-01 1.386144627505969E+09
 1.085598025127806E-01 1.388887155576528E+09
 1.086431627843807E-01 1.391635027527719E+09
 1.087265870661828E-01 1.394388253306282E+09
 1.088100754073384E-01 1.397146842876121E+09
 1.088936278570375E-01 1.399910806217375E+09
 1.089772444645071E-01 1.402680153326542E+09
 1.090609252790123E-01 1.405454894217093E+09
 1.091446703498559E-01 1.408235038920084E+09
 1.092284797263790E-01 1.411020597482079E+09
 1.093123534579602E-01 1.413811579966638E+09
 1.093962915940160E-01 1.416607996453935E+09
 1.094802941840008E-01 1.419409857041629E+09
 1.095643612774073E-01 1.422217171843433E+09
 1.096484929237661E-01 1.425029950990567E+09
 1.097326891726455E-01 1.427848204630974E+09
 1.098169500736522E-01 1.430671942927824E+09
 1.099012756764310E-01 1.433501176063814E+09
 1.099856660306646E-01 1.436335914237273E+09
 1.100701211860740E-01 1.439176167662172E+09
 1.101546411924184E-01 1.442021946571506E+09
 1.102392260994952E-01 1.444873261215045E+09
 1.103238759571398E-01 1.447730121858170E+09
 1.104085908152262E-01 1.450592538783639E+09
 1.104933707236666E-01 1.453460522292192E+09
 1.105782157324115E-01 1.456334082700956E+09
 1.106631258914497E-01 1.459213230343526E+09
 1.107481012508082E-01 1.462097975571745E+09
 1.108331418605531E-01 1.464988328754111E+09
 1.109182477707882E-01 1.467884300276131E+09
 1.110034190316559E-01 1.470785900539695E+09
 1.110886556933377E-01 1.473693139966011E+09
 1.111739578060530E-01 1.476606028991248E+09
 1.112593254200598E-01 1.479524578068901E+09
 1.113447585856549E-01 1.482448797671465E+09
 1.114302573531740E-01 1.485378698287998E+09
 1.115158217729908E-01 1.488314290423439E+09
 1.116014518955181E-01 1.491255584600796E+09
 1.116871477712072E-01 1.494202591361656E+09
 1.117729094505484E-01 1.497155321263293E+09
 1.118587369840707E-01 1.500113784880749E+09
 1.119446304223417E-01 1.503077992806588E+09
 1.120305898159677E-01 1.506047955651749E+09
 1.121166152155947E-01 1.509023684042181E+09
 1.122027066719066E-01 1.512005188622921E+09
 1.122888642356266E-01 1.514992480056748E+09
 1.123750879575171E-01 1.517985569022814E+09
 1.124613778883792E-01 1.520984466218569E+09
 1.125477340790530E-01 1.523989182358289E+09
 1.126341565804175E-01 1.526999728174267E+09
 1.127206454433914E-01 1.530016114417005E+09
 1.128072007189317E-01 1.533038351852689E+09
 1.128938224580352E-01 1.536066451266154E+09
 1.129805107117371E-01 1.539100423460752E+09
 1.130672655311128E-01 1.542140279255897E+09
 1.131540869672760E-01 1.545186029490076E+09
 1.132409750713802E-01 1.548237685017384E+09
 1.133279298946177E-01 1.551295256711276E+09
 1.134149514882208E-01 1.554358755463623E+09
 1.135020399034605E-01 1.557428192181363E+09
 1.135891951916473E-01 1.560503577791533E+09
 1.136764174041316E-01 1.563584923238660E+09
 1.137637065923025E-01 1.566672239483531E+09
 1.138510628075890E-01 1.569765537506132E+09
 1.139384861014595E-01 1.572864828303285E+09
 1.140259765254219E-01 1.575970122890795E+09
 1.141135341310238E-01 1.579081432302135E+09
 1.142011589698521E-01 1.582198767587254E+09
 1.142888510935333E-01 1.585322139815378E+09
 1.143766105537341E-01 1.588451560073774E+09
 1.144644374021603E-01 1.591587039467168E+09
 1.145523316905573E-01 1.594728589117096E+09
 1.146402934707109E-01 1.597876220165072E+09
 1.147283227944463E-01 1.601029943770092E+09
 1.148164197136282E-01 1.604189771108136E+09
 1.149045842801613E-01 1.607355713374184E+09
 1.149928165459907E-01 1.610527781780673E+09
 1.150811165631008E-01 1.613705987558522E+09
 1.151694843835158E-01 1.616890341957166E+09
 1.152579200593003E-01 1.620080856243304E+09
