#rho	 Pc
 1.000000000000000E-01 5.637923489228722E+10
 1.000921550516793E-01 5.648760651308385E+10
 1.001843950288940E-01 5.659618011698151E+10
 1.002767200099076E-01 5.670495604529118E+10
 1.003691300730550E-01 5.681393463968266E+10
 1.004616252967439E-01 5.692311624225133E+10
 1.005542057594539E-01 5.703250119554904E+10
 1.006468715397373E-01 5.714208988879951E+10
 1.007396227162184E-01 5.725188278486095E+10
 1.008324593675941E-01 5.736187627838531E+10
 1.009253815726337E-01 5.747207112098343E+10
 1.010183894101795E-01 5.758247296761378E+10
 1.011114829591461E-01 5.769308288929990E+10
 1.012046622985209E-01 5.780390107754523E+10
 1.012979275073639E-01 5.791492789895627E+10
 1.013912786648084E-01 5.802616372065002E+10
 1.014847158500602E-01 5.813760891026160E+10
 1.015782391423985E-01 5.824926383596735E+10
 1.016718486211750E-01 5.836112886639799E+10
 1.017655443658152E-01 5.847320437078185E+10
 1.018593264558172E-01 5.858549071881395E+10
 1.019531949707528E-01 5.869798828072865E+10
 1.020471499902667E-01 5.881069742725742E+10
 1.021411915940776E-01 5.892361852971687E+10
 1.022353198619770E-01 5.903675195990817E+10
 1.023295348738303E-01 5.915009809008214E+10
 1.024238367095764E-01 5.926365729308780E+10
 1.025182254492280E-01 5.937742994233896E+10
 1.026127011728715E-01 5.949141641168100E+10
 1.027072639606669E-01 5.960561707545833E+10
 1.028019138928482E-01 5.972003230863719E+10
 1.028966510497235E-01 5.983466248667902E+10
 1.029914755116747E-01 5.994950798551662E+10
 1.030863873591578E-01 6.006456918160676E+10
 1.031813866727028E-01 6.017984645197891E+10
 1.032764735329145E-01 6.029534017414688E+10
 1.033716480204714E-01 6.041105072613597E+10
 1.034669102161264E-01 6.052697848655788E+10
 1.035622602007070E-01 6.064312383448853E+10
 1.036576980551152E-01 6.075948714948874E+10
 1.037532238603275E-01 6.087606881172380E+10
 1.038488376973950E-01 6.099286920185188E+10
 1.039445396474433E-01 6.110988870099402E+10
 1.040403297916732E-01 6.122712769090240E+10
 1.041362082113601E-01 6.134458655377804E+10
 1.042321749878542E-01 6.146226567233564E+10
 1.043282302025806E-01 6.158016542984024E+10
 1.044243739370399E-01 6.169828621008290E+10
 1.045206062728074E-01 6.181662839736674E+10
 1.046169272915337E-01 6.193519237647202E+10
 1.047133370749444E-01 6.205397853278833E+10
 1.048098357048410E-01 6.217298725217850E+10
 1.049064232630998E-01 6.229221892098295E+10
 1.050030998316728E-01 6.241167392615746E+10
 1.050998654925875E-01 6.253135265509651E+10
 1.051967203279471E-01 6.265125549578781E+10
 1.052936644199303E-01 6.277138283669344E+10
 1.053906978507915E-01 6.289173506677052E+10
 1.054878207028610E-01 6.301231257555567E+10
 1.055850330585451E-01 6.313311575307066E+10
 1.056823350003259E-01 6.325414498992422E+10
 1.057797266107614E-01 6.337540067715244E+10
 1.058772079724856E-01 6.349688320632413E+10
 1.059747791682093E-01 6.361859296959177E+10
 1.060724402807189E-01 6.374053035961108E+10
 1.061701913928771E-01 6.386269576951369E+10
 1.062680325876231E-01 6.398508959300019E+10
 1.063659639479728E-01 6.410771222424771E+10
 1.064639855570183E-01 6.423056405800368E+10
 1.065620974979283E-01 6.435364548950806E+10
 1.066602998539479E-01 6.447695691450975E+10
 1.067585927083997E-01 6.460049872930202E+10
 1.068569761446822E-01 6.472427133067011E+10
 1.069554502462713E-01 6.484827511596132E+10
 1.070540150967195E-01 6.497251048303081E+10
 1.071526707796567E-01 6.509697783019943E+10
 1.072514173787895E-01 6.522167755635014E+10
 1.073502549779016E-01 6.534661006093330E+10
 1.074491836608544E-01 6.547177574383662E+10
 1.075482035115861E-01 6.559717500548974E+10
 1.076473146141124E-01 6.572280824686906E+10
 1.077465170525263E-01 6.584867586945569E+10
 1.078458109109987E-01 6.597477827523380E+10
 1.079451962737778E-01 6.610111586672878E+10
 1.080446732251892E-01 6.622768904696766E+10
 1.081442418496365E-01 6.635449821951569E+10
 1.082439022316013E-01 6.648154378841385E+10
 1.083436544556425E-01 6.660882615825912E+10
 1.084434986063974E-01 6.673634573417688E+10
 1.085434347685809E-01 6.686410292177689E+10
 1.086434630269864E-01 6.699209812717938E+10
 1.087435834664851E-01 6.712033175705979E+10
 1.088437961720266E-01 6.724880421860391E+10
 1.089441012286386E-01 6.737751591948922E+10
 1.090444987214274E-01 6.750646726791299E+10
 1.091449887355776E-01 6.763565867260033E+10
 1.092455713563523E-01 6.776509054278309E+10
 1.093462466690930E-01 6.789476328821771E+10
 1.094470147592203E-01 6.802467731919601E+10
 1.095478757122332E-01 6.815483304646992E+10
 1.096488296137094E-01 6.828523088135961E+10
 1.097498765493056E-01 6.841587123565492E+10
 1.098510166047576E-01 6.854675452170532E+10
 1.099522498658800E-01 6.867788115234406E+10
 1.100535764185664E-01 6.880925154093120E+10
 1.101549963487898E-01 6.894086610131070E+10
 1.102565097426024E-01 6.907272524788766E+10
 1.103581166861355E-01 6.920482939555569E+10
 1.104598172656000E-01 6.933717895969659E+10
 1.105616115672859E-01 6.946977435628012E+10
 1.106634996775632E-01 6.960261600168179E+10
 1.107654816828812E-01 6.973570431286073E+10
 1.108675576697689E-01 6.986903970728552E+10
 1.109697277248350E-01 7.000262260290607E+10
 1.110719919347682E-01 7.013645341819833E+10
 1.111743503863370E-01 7.027053257212708E+10
 1.112768031663897E-01 7.040486048423639E+10
 1.113793503618547E-01 7.053943757449637E+10
 1.114819920597407E-01 7.067426426339749E+10
 1.115847283471365E-01 7.080934097201010E+10
 1.116875593112111E-01 7.094466812184552E+10
 1.117904850392136E-01 7.108024613490656E+10
 1.118935056184740E-01 7.121607543378113E+10
 1.119966211364026E-01 7.135215644151279E+10
 1.120998316804899E-01 7.148848958164853E+10
 1.122031373383074E-01 7.162507527825728E+10
 1.123065381975074E-01 7.176191395589648E+10
 1.124100343458225E-01 7.189900603965672E+10
 1.125136258710667E-01 7.203635195512241E+10
 1.126173128611343E-01 7.217395212837328E+10
 1.127210954040014E-01 7.231180698600067E+10
 1.128249735877244E-01 7.244991695510007E+10
 1.129289475004414E-01 7.258828251589276E+10
 1.130330172303712E-01 7.272690417923770E+10
 1.131371828658146E-01 7.286577826028735E+10
 1.132414444951531E-01 7.300490603472180E+10
 1.133458022068500E-01 7.314429378342688E+10
 1.134502560894500E-01 7.328394264116949E+10
 1.135548062315796E-01 7.342385288515146E+10
 1.136594527219466E-01 7.356402497361240E+10
 1.137641956493410E-01 7.370445936548221E+10
 1.138690351026341E-01 7.384515652032870E+10
 1.139739711707797E-01 7.398611689843805E+10
 1.140790039428131E-01 7.412734096067108E+10
 1.141841335078519E-01 7.426882916857045E+10
 1.142893599550955E-01 7.441058198429825E+10
 1.143946833738261E-01 7.455259987072618E+10
 1.145001038534076E-01 7.469488329139526E+10
 1.146056214832866E-01 7.483743271040501E+10
 1.147112363529919E-01 7.498024859261279E+10
 1.148169485521350E-01 7.512333140342401E+10
 1.149227581704098E-01 7.526668160899924E+10
 1.150286652975930E-01 7.541029967609921E+10
 1.151346700235440E-01 7.555418607213879E+10
 1.152407724382050E-01 7.569834126523404E+10
 1.153469726316011E-01 7.584276572409377E+10
 1.154532706938402E-01 7.598745991808871E+10
 1.155596667151135E-01 7.613242431731592E+10
 1.156661607856953E-01 7.627765939243643E+10
 1.157727529959429E-01 7.642316561484860E+10
 1.158794434362968E-01 7.656894345653519E+10
 1.159862321972812E-01 7.671499339011829E+10
 1.160931193695035E-01 7.686131588900706E+10
 1.162001050436546E-01 7.700791142715240E+10
 1.163071893105089E-01 7.715478047917848E+10
 1.164143722609248E-01 7.730192352035370E+10
 1.165216539858440E-01 7.744934102669598E+10
 1.166290345762923E-01 7.759703347472260E+10
 1.167365141233791E-01 7.774500134175374E+10
 1.168440927182981E-01 7.789324510570876E+10
 1.169517704523269E-01 7.804176524511694E+10
 1.170595474168271E-01 7.819056223925221E+10
 1.171674237032446E-01 7.833963656796822E+10
 1.172753994031096E-01 7.848898871179282E+10
 1.173834746080367E-01 7.863861915197614E+10
 1.174916494097248E-01 7.878852837035864E+10
 1.175999238999570E-01 7.893871684940952E+10
 1.177082981706019E-01 7.908918507235080E+10
 1.178167723136119E-01 7.923993352299371E+10
 1.179253464210244E-01 7.939096268580869E+10
 1.180340205849616E-01 7.954227304592430E+10
 1.181427948976309E-01 7.969386508916261E+10
 1.182516694513242E-01 7.984573930197011E+10
 1.183606443384187E-01 7.999789617147852E+10
 1.184697196513767E-01 8.015033618538812E+10
 1.185788954827457E-01 8.030305983217514E+10
 1.186881719251587E-01 8.045606760092432E+10
 1.187975490713336E-01 8.060935998133026E+10
 1.189070270140739E-01 8.076293746385001E+10
 1.190166058462691E-01 8.091680053947160E+10
 1.191262856608937E-01 8.107094969994653E+10
 1.192360665510081E-01 8.122538543760724E+10
 1.193459486097585E-01 8.138010824548410E+10
