#rho	 Pc
 1.000000000000000E-01 2.497686311540413E+08
 1.000767874200861E-01 2.502994223407633E+08
 1.001536338032509E-01 2.508313233325374E+08
 1.002305391947709E-01 2.513643363753968E+08
 1.003075036399570E-01 2.518984637199590E+08
 1.003845271841549E-01 2.524337076207388E+08
 1.004616098727451E-01 2.529700703366431E+08
 1.005387517511434E-01 2.535075540962496E+08
 1.006159528647998E-01 2.540461602504121E+08
 1.006932132591997E-01 2.545858997389615E+08
 1.007705329798632E-01 2.551267812589970E+08
 1.008479120723454E-01 2.556688004762121E+08
 1.009253505822365E-01 2.562119566735386E+08
 1.010028485551614E-01 2.567562526515679E+08
 1.010804060367803E-01 2.573016907381054E+08
 1.011580230727885E-01 2.578482732654286E+08
 1.012356997089162E-01 2.583960025704065E+08
 1.013134359909287E-01 2.589448809946551E+08
 1.013912319646267E-01 2.594949108840534E+08
 1.014690876758459E-01 2.600460945888729E+08
 1.015470031704570E-01 2.605984344642820E+08
 1.016249784943662E-01 2.611519328700001E+08
 1.017030136935151E-01 2.617065921700909E+08
 1.017811088138802E-01 2.622624147333786E+08
 1.018592639014734E-01 2.628194029332800E+08
 1.019374790023419E-01 2.633775591475042E+08
 1.020157541625686E-01 2.639368857586612E+08
 1.020940894282715E-01 2.644973851541663E+08
 1.021724848456037E-01 2.650590597254967E+08
 1.022509404607545E-01 2.656219118690895E+08
 1.023294563199481E-01 2.661859439860865E+08
 1.024080324694443E-01 2.667511584821763E+08
 1.024866689555384E-01 2.673175577675985E+08
 1.025653658245616E-01 2.678851442572771E+08
 1.026441231228801E-01 2.684539203710233E+08
 1.027229408968962E-01 2.690238885331476E+08
 1.028018191930474E-01 2.695950511725159E+08
 1.028807580578073E-01 2.701674107229737E+08
 1.029597575376849E-01 2.707409696229137E+08
 1.030388176792250E-01 2.713157303153448E+08
 1.031179385290080E-01 2.718916952481905E+08
 1.031971201336504E-01 2.724688668739856E+08
 1.032763625398042E-01 2.730472476499227E+08
 1.033556657941571E-01 2.736268400382020E+08
 1.034350299434333E-01 2.742076465054879E+08
 1.035144550343921E-01 2.747896695231127E+08
 1.035939411138292E-01 2.753729115676922E+08
 1.036734882285759E-01 2.759573751202168E+08
 1.037530964254999E-01 2.765430626664340E+08
 1.038327657515045E-01 2.771299766969992E+08
 1.039124962535291E-01 2.777181197074463E+08
 1.039922879785491E-01 2.783074941979078E+08
 1.040721409735764E-01 2.788981026734702E+08
 1.041520552856584E-01 2.794899476439590E+08
 1.042320309618789E-01 2.800830316242372E+08
 1.043120680493578E-01 2.806773571337351E+08
 1.043921665952513E-01 2.812729266967925E+08
 1.044723266467518E-01 2.818697428428725E+08
 1.045525482510876E-01 2.824678081059400E+08
 1.046328314555239E-01 2.830671250249312E+08
 1.047131763073617E-01 2.836676961438342E+08
 1.047935828539383E-01 2.842695240113676E+08
 1.048740511426275E-01 2.848726111811391E+08
 1.049545812208397E-01 2.854769602118067E+08
 1.050351731360214E-01 2.860825736668484E+08
 1.051158269356555E-01 2.866894541145188E+08
 1.051965426672614E-01 2.872976041283609E+08
 1.052773203783954E-01 2.879070262866167E+08
 1.053581601166498E-01 2.885177231722971E+08
 1.054390619296534E-01 2.891296973737112E+08
 1.055200258650721E-01 2.897429514840469E+08
 1.056010519706081E-01 2.903574881014517E+08
 1.056821402940002E-01 2.909733098288801E+08
 1.057632908830236E-01 2.915904192745336E+08
 1.058445037854908E-01 2.922088190515682E+08
 1.059257790492506E-01 2.928285117778953E+08
 1.060071167221886E-01 2.934495000767930E+08
 1.060885168522271E-01 2.940717865763100E+08
 1.061699794873256E-01 2.946953739096175E+08
 1.062515046754798E-01 2.953202647150106E+08
 1.063330924647228E-01 2.959464616356670E+08
 1.064147429031241E-01 2.965739673200016E+08
 1.064964560387907E-01 2.972027844214342E+08
 1.065782319198660E-01 2.978329155983219E+08
 1.066600705945305E-01 2.984643635142046E+08
 1.067419721110021E-01 2.990971308378252E+08
 1.068239365175351E-01 2.997312202429096E+08
 1.069059638624214E-01 3.003666344082800E+08
 1.069880541939894E-01 3.010033760180683E+08
 1.070702075606053E-01 3.016414477612461E+08
 1.071524240106719E-01 3.022808523319788E+08
 1.072347035926294E-01 3.029215924298671E+08
 1.073170463549550E-01 3.035636707594422E+08
 1.073994523461636E-01 3.042070900302503E+08
 1.074819216148068E-01 3.048518529572289E+08
 1.075644542094738E-01 3.054979622605639E+08
 1.076470501787909E-01 3.061454206655030E+08
 1.077297095714220E-01 3.067942309023330E+08
 1.078124324360681E-01 3.074443957067356E+08
 1.078952188214677E-01 3.080959178198263E+08
 1.079780687763969E-01 3.087487999874469E+08
 1.080609823496691E-01 3.094030449609959E+08
 1.081439595901351E-01 3.100586554972187E+08
 1.082270005466832E-01 3.107156343576843E+08
 1.083101052682396E-01 3.113739843096376E+08
 1.083932738037676E-01 3.120337081254228E+08
 1.084765062022684E-01 3.126948085825567E+08
 1.085598025127806E-01 3.133572884641772E+08
 1.086431627843807E-01 3.140211505582804E+08
 1.087265870661828E-01 3.146863976585209E+08
 1.088100754073384E-01 3.153530325637783E+08
 1.088936278570375E-01 3.160210580779807E+08
 1.089772444645071E-01 3.166904770107572E+08
 1.090609252790123E-01 3.173612921769966E+08
 1.091446703498559E-01 3.180335063968155E+08
 1.092284797263790E-01 3.187071224957194E+08
 1.093123534579602E-01 3.193821433045286E+08
 1.093962915940160E-01 3.200585716597048E+08
 1.094802941840008E-01 3.207364104029176E+08
 1.095643612774073E-01 3.214156623809799E+08
 1.096484929237661E-01 3.220963304464397E+08
 1.097326891726455E-01 3.227784174573279E+08
 1.098169500736522E-01 3.234619262768155E+08
 1.099012756764310E-01 3.241468597735813E+08
 1.099856660306646E-01 3.248332208217463E+08
 1.100701211860740E-01 3.255210123011181E+08
 1.101546411924184E-01 3.262102370965575E+08
 1.102392260994952E-01 3.269008980986294E+08
 1.103238759571398E-01 3.275929982034941E+08
 1.104085908152262E-01 3.282865403124056E+08
 1.104933707236666E-01 3.289815273324614E+08
 1.105782157324115E-01 3.296779621761615E+08
 1.106631258914497E-01 3.303758477615386E+08
 1.107481012508082E-01 3.310751870118941E+08
 1.108331418605531E-01 3.317759828564446E+08
 1.109182477707882E-01 3.324782382298687E+08
 1.110034190316559E-01 3.331819560720933E+08
 1.110886556933377E-01 3.338871393288430E+08
 1.111739578060530E-01 3.345937909514762E+08
 1.112593254200598E-01 3.353019138967718E+08
 1.113447585856549E-01 3.360115111270872E+08
 1.114302573531740E-01 3.367225856105059E+08
 1.115158217729908E-01 3.374351403206396E+08
 1.116014518955181E-01 3.381491782366678E+08
 1.116871477712072E-01 3.388647023434315E+08
 1.117729094505484E-01 3.395817156314846E+08
 1.118587369840707E-01 3.403002210968854E+08
 1.119446304223417E-01 3.410202217414492E+08
 1.120305898159677E-01 3.417417205724918E+08
 1.121166152155947E-01 3.424647206031735E+08
 1.122027066719066E-01 3.431892248523616E+08
 1.122888642356266E-01 3.439152363444641E+08
 1.123750879575171E-01 3.446427581094296E+08
 1.124613778883792E-01 3.453717931834217E+08
 1.125477340790530E-01 3.461023446079364E+08
 1.126341565804175E-01 3.468344154301064E+08
 1.127206454433914E-01 3.475680087031686E+08
 1.128072007189317E-01 3.483031274240769E+08
 1.128938224580352E-01 3.490397732253631E+08
 1.129805107117371E-01 3.497779632079688E+08
 1.130672655311128E-01 3.505177102272826E+08
 1.131540869672760E-01 3.512590063238806E+08
 1.132409750713802E-01 3.520018499273887E+08
 1.133279298946177E-01 3.527462449345544E+08
 1.134149514882208E-01 3.534921944948604E+08
 1.135020399034605E-01 3.542397017643424E+08
 1.135891951916473E-01 3.549887699049021E+08
 1.136764174041316E-01 3.557394020844887E+08
 1.137637065923025E-01 3.564916014772097E+08
 1.138510628075890E-01 3.572453712630272E+08
 1.139384861014595E-01 3.580007146282708E+08
 1.140259765254219E-01 3.587576347655782E+08
 1.141135341310238E-01 3.595161348732470E+08
 1.142011589698521E-01 3.602762181559468E+08
 1.142888510935333E-01 3.610378878244097E+08
 1.143766105537341E-01 3.618011470956535E+08
 1.144644374021603E-01 3.625659991928404E+08
 1.145523316905573E-01 3.633324473451340E+08
 1.146402934707109E-01 3.641004947882015E+08
 1.147283227944463E-01 3.648701447637855E+08
 1.148164197136282E-01 3.656414005195770E+08
 1.149045842801613E-01 3.664142653096806E+08
 1.149928165459907E-01 3.671887423948729E+08
 1.150811165631008E-01 3.679648350412929E+08
 1.151694843835158E-01 3.687425465218943E+08
 1.152579200593003E-01 3.695218801161795E+08
 1.153464236425587E-01 3.703028391090897E+08
 1.154349951854354E-01 3.710854267925793E+08
 1.155236347401148E-01 3.718696464644371E+08
 1.156123423588213E-01 3.726555014292209E+08
 1.157011180938198E-01 3.734429949974220E+08
 1.157899619974148E-01 3.742321304857594E+08
 1.158788741219512E-01 3.750229112181262E+08
 1.159678545198142E-01 3.758153405235394E+08
 1.160569032434292E-01 3.766094217380559E+08
 1.161460203452617E-01 3.774051582043654E+08
 1.162352058778173E-01 3.782025532712087E+08
 1.163244598936427E-01 3.790016102935644E+08
 1.164137824453241E-01 3.798023326327428E+08
 1.165031735854885E-01 3.806047236572038E+08
 1.165926333668031E-01 3.814087867411927E+08
 1.166821618419759E-01 3.822145252654205E+08
 1.167717590637551E-01 3.830219426171231E+08
 1.168614250849293E-01 3.838310421903076E+08
 1.169511599583277E-01 3.846418273849515E+08
 1.170409637368205E-01 3.854543016078122E+08
 1.171308364733179E-01 3.862684682721852E+08
 1.172207782207709E-01 3.870843307974873E+08
 1.173107890321715E-01 3.879018926102406E+08
 1.174008689605519E-01 3.887211571429400E+08
 1.174910180589854E-01 3.895421278350995E+08
 1.175812363805857E-01 3.903648081322944E+08
 1.176715239785077E-01 3.911892014868560E+08
 1.177618809059468E-01 3.920153113580706E+08
 1.178523072161393E-01 3.928431412110188E+08
 1.179428029623624E-01 3.936726945181094E+08
 1.180333681979344E-01 3.945039747579438E+08
 1.181240029762143E-01 3.953369854158807E+08
 1.182147073506021E-01 3.961717299839201E+08
 1.183054813745389E-01 3.970082119604884E+08
 1.183963251015069E-01 3.978464348509933E+08
 1.184872385850291E-01 3.986864021672369E+08
 1.185782218786696E-01 3.995281174278544E+08
 1.186692750360343E-01 4.003715841579373E+08
 1.187603981107693E-01 4.012168058894745E+08
 1.188515911565626E-01 4.020637861612789E+08
 1.189428542271428E-01 4.029125285185060E+08
 1.190341873762806E-01 4.037630365132411E+08
 1.191255906577873E-01 4.046153137043253E+08
 1.192170641255158E-01 4.054693636572695E+08
 1.193086078333600E-01 4.063251899445692E+08
 1.194002218352559E-01 4.071827961450459E+08
 1.194919061851803E-01 4.080421858448333E+08
 1.195836609371514E-01 4.089033626364715E+08
 1.196754861452296E-01 4.097663301193030E+08
 1.197673818635160E-01 4.106310918997387E+08
 1.198593481461537E-01 4.114976515908793E+08
 1.199513850473270E-01 4.123660128127800E+08
 1.200434926212624E-01 4.132361791919092E+08
 1.201356709222275E-01 4.141081543621888E+08
 1.202279200045318E-01 4.149819419641855E+08
 1.203202399225264E-01 4.158575456449380E+08
 1.204126307306043E-01 4.167349690590727E+08
 1.205050924832001E-01 4.176142158678939E+08
 1.205976252347903E-01 4.184952897393062E+08
 1.206902290398931E-01 4.193781943483800E+08
 1.207829039530688E-01 4.202629333771487E+08
 1.208756500289195E-01 4.211495105145755E+08
 1.209684673220888E-01 4.220379294566388E+08
 1.210613558872631E-01 4.229281939060714E+08
 1.211543157791702E-01 4.238203075727648E+08
 1.212473470525800E-01 4.247142741738098E+08
 1.213404497623044E-01 4.256100974329622E+08
 1.214336239631978E-01 4.265077810808524E+08
 1.215268697101562E-01 4.274073288556954E+08
 1.216201870581180E-01 4.283087445026382E+08
 1.217135760620637E-01 4.292120317735268E+08
 1.218070367770163E-01 4.301171944271997E+08
 1.219005692580407E-01 4.310242362300911E+08
 1.219941735602440E-01 4.319331609557825E+08
 1.220878497387763E-01 4.328439723842231E+08
 1.221815978488293E-01 4.337566743027515E+08
 1.222754179456374E-01 4.346712705064595E+08
 1.223693100844772E-01 4.355877647969652E+08
 1.224632743206683E-01 4.365061609828737E+08
 1.225573107095721E-01 4.374264628806047E+08
 1.226514193065929E-01 4.383486743133292E+08
 1.227456001671772E-01 4.392727991111980E+08
 1.228398533468148E-01 4.401988411121049E+08
 1.229341789010374E-01 4.411268041608430E+08
 1.230285768854195E-01 4.420566921091877E+08
 1.231230473555783E-01 4.429885088167377E+08
 1.232175903671741E-01 4.439222581500750E+08
 1.233122059759093E-01 4.448579439825532E+08
 1.234068942375293E-01 4.457955701953813E+08
 1.235016552078227E-01 4.467351406771106E+08
 1.235964889426204E-01 4.476766593231397E+08
 1.236913954977965E-01 4.486201300364683E+08
 1.237863749292676E-01 4.495655567270069E+08
 1.238814272929939E-01 4.505129433128141E+08
 1.239765526449780E-01 4.514622937183697E+08
 1.240717510412658E-01 4.524136118760302E+08
 1.241670225379459E-01 4.533669017256622E+08
 1.242623671911505E-01 4.543221672137067E+08
 1.243577850570545E-01 4.552794122947583E+08
 1.244532761918760E-01 4.562386409307792E+08
 1.245488406518763E-01 4.571998570908592E+08
 1.246444784933600E-01 4.581630647514970E+08
 1.247401897726748E-01 4.591282678964548E+08
 1.248359745462116E-01 4.600954705175321E+08
 1.249318328704050E-01 4.610646766137055E+08
 1.250277648017325E-01 4.620358901910451E+08
 1.251237703967150E-01 4.630091152636488E+08
 1.252198497119170E-01 4.639843558529346E+08
 1.253160028039464E-01 4.649616159877490E+08
 1.254122297294546E-01 4.659408997040646E+08
 1.255085305451363E-01 4.669222110461857E+08
 1.256049053077298E-01 4.679055540657212E+08
 1.257013540740172E-01 4.688909328213468E+08
