#rho	 Pc
 1.000000000000000E-01 1.629195535922609E+08
 1.000767874200861E-01 1.632716074546220E+08
 1.001536338032509E-01 1.636244131650601E+08
 1.002305391947709E-01 1.639779722924031E+08
 1.003075036399570E-01 1.643322864087112E+08
 1.003845271841549E-01 1.646873570891566E+08
 1.004616098727451E-01 1.650431859120466E+08
 1.005387517511434E-01 1.653997744588528E+08
 1.006159528647998E-01 1.657571243142163E+08
 1.006932132591997E-01 1.661152370659587E+08
 1.007705329798632E-01 1.664741143049968E+08
 1.008479120723454E-01 1.668337576255257E+08
 1.009253505822365E-01 1.671941686249502E+08
 1.010028485551614E-01 1.675553489037342E+08
 1.010804060367803E-01 1.679173000657435E+08
 1.011580230727885E-01 1.682800237178088E+08
 1.012356997089162E-01 1.686435214700392E+08
 1.013134359909287E-01 1.690077949360376E+08
 1.013912319646267E-01 1.693728457321914E+08
 1.014690876758459E-01 1.697386754784243E+08
 1.015470031704570E-01 1.701052857978246E+08
 1.016249784943662E-01 1.704726783166333E+08
 1.017030136935151E-01 1.708408546644952E+08
 1.017811088138802E-01 1.712098164741214E+08
 1.018592639014734E-01 1.715795653816276E+08
 1.019374790023419E-01 1.719501030263246E+08
 1.020157541625686E-01 1.723214310508412E+08
 1.020940894282715E-01 1.726935511010765E+08
 1.021724848456037E-01 1.730664648262164E+08
 1.022509404607545E-01 1.734401738785714E+08
 1.023294563199481E-01 1.738146799140005E+08
 1.024080324694443E-01 1.741899845916431E+08
 1.024866689555384E-01 1.745660895736803E+08
 1.025653658245616E-01 1.749429965258684E+08
 1.026441231228801E-01 1.753207071171846E+08
 1.027229408968962E-01 1.756992230200251E+08
 1.028018191930474E-01 1.760785459099495E+08
 1.028807580578073E-01 1.764586774658695E+08
 1.029597575376849E-01 1.768396193703022E+08
 1.030388176792250E-01 1.772213733088369E+08
 1.031179385290080E-01 1.776039409705226E+08
 1.031971201336504E-01 1.779873240477058E+08
 1.032763625398042E-01 1.783715242362308E+08
 1.033556657941571E-01 1.787565432353119E+08
 1.034350299434333E-01 1.791423827473097E+08
 1.035144550343921E-01 1.795290444780859E+08
